Title,Land Size,Location,Total Price,Monthly Payment
House For Sale In Kegalle,"Beds-4, Baths-2 Size-1400sqft",,"28,500,000","404,936"
Land For Sale In Embilipitiya,40 Perches,,"5,600,000","79,566"
House For Sale In Polgahawela,"Beds-3, Baths-1 Size-940sqft",,"5,000,000","71,041"
Land For Sale In Marandagahamula,25 Perches,,"13,750,000","195,364"
House For Sale In Kataragama,"Beds-3, Baths-2 Size-2800sqft",,"6,500,000","92,354"
Land For Sale In Kahathuduwa,6 Perches,,"3,450,000","49,019"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
House For Sale In Jayanthipura,"Beds-3, Baths-2 Size-2000sqft",,"6,500,000","92,354"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
Land For Sale In Mattegoda,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Kottawa,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Panadura,6.2 Perches,,"4,185,000","59,462"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Aniwatta,12 Perches,,"7,200,000","102,300"
Land With Half Built House For Sale In Hakmana,10 Perches,,"30,000,000","426,249"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Land For Sale In Homagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Maggona,12.5 Perches,,"1,500,000","21,312"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Pita Kotte,"Beds-5, Baths-4 Size-2550sqft",,"80,000,000","1,136,664"
House For Sale In Bandarawela,"Beds-4, Baths-2 Size-3000sqft",,"13,000,000","184,708"
House For Sale In Negombo,"Beds-3, Baths-2 Size-1550sqft",,"29,500,000","419,145"
House For Sale In Negombo,"Beds-3, Baths-3 Size-2375sqft",,"52,000,000","738,831"
